Username,Date,Text,Geo,Hashtags,,,,
 +Catja_F,1/31/17 17:50,They're spreading lies about @HillaryClinton because they're still fear her #WomensMarch #TheResistance #StopTheCoup,,#WomensMarch #TheResistance #StopTheCoup,,,,
 +mari_kaartinen,1/31/17 17:50,Vatican looks now more progressive than US. #WomensMarch https:// twitter.com/wsj/status/826 555695990456324 â€_,"MontrÃ©al, QuÃ©bec",#WomensMarch,,,,
 +hangryoptimist,1/31/17 17:50,Cheaters gotta cheat. Fakers gonna fake. #resist #NoBanNoWall #womensmarch #freedom #equality #justice #dumptrump https:// twitter.com/cnnpolitics/st atus/826475301941149696 â€_,Canada,#resist #NoBanNoWall #womensmarch #freedom #equality #justice #dumptrump,,,,
 +inkman_,1/31/17 17:50,"Why can't they all get together, concur on the best ever sign"" at #WomensMarch and just retweet that one thing!""","Witney, Oxfordshire",#WomensMarch,,,,
 +wmsignsbook,1/31/17 17:50,"Pic by Deb Browne in Carbondale, IL. #womensmarch #womensmarchbook #womensmarchsigns pic.twitter.com/TISrKORzTU",,#womensmarch #womensmarchbook #womensmarchsigns,,,,
 +SoFLBrgOverload,1/31/17 17:50,A woman's life under Sharia law. #WomensMarch aka far left march. Here is a reason for you to march! @AshleyJudd https:// youtu.be/DX_oeu-K6Z0,Miami,#WomensMarch,,,,
 +melanialoves,1/31/17 17:50,@HopefulSpirit @tedcruz retweet if you think #womensmarch is a hypocritical bunch of spoiled people who don't appreciate life,USA,#womensmarch,,,,
 +grouchiemarks,1/31/17 17:49,Will #Leftards #WomensMarch #StandUpToTrump also #StandupToLondonMayor for meeting countries with #antisemite #travelbans ? #newsnight #bbc,london,#Leftards #WomensMarch #StandUpToTrump #StandupToLondonMayor #antisemite #travelbans #newsnight #bbc,,,,
 +hangryoptimist,1/31/17 17:49,"Hey DHS chief why isn't there been a ban on other countries like, I don't know...North Korea or Russia? #resist #NoBanNoWall #womensmarch https:// twitter.com/cnnpolitics/st atus/826478054348353537 â€_",Canada,#resist #NoBanNoWall #womensmarch,,,,
 +Nbadjei,1/31/17 17:47,"Oh no! Lewis interviewed me & my sister during #WomensMarch . Asked thoughtful ?s Also, post is thoughtful/probing. I'm done w/marketplace. https:// twitter.com/lewispants/sta tus/826484441300271104 â€_",,#WomensMarch,,,,
 +will_fox1,1/31/17 17:47,After all #sizematters #womensmarch https:// twitter.com/demonzeke/stat us/826510828547534850 â€_,"Portland, OR",#sizematters #womensmarch,,,,
 +rebeccaflaugher,1/31/17 17:47,Who else is watching C-span for the first time in their life? It's a new world! LOL.. #WomensMarch,,#WomensMarch,,,,
 +Valenteena_,1/31/17 17:47,Su Siffredi queste battute non le facevate hihihi #womensmarch #isola,11,#womensmarch #isola,,,,
 +AdedapoLinda,1/31/17 17:46,#Crosscheck #IllegitimateTrumpPence #MuslimBan #WomensMarch #BlackHistoryMonth #ACA #HumanRights #RightToChoose #Pipeline #WaterHumanRights https:// twitter.com/isaleewolf/sta tus/823000350647001088 â€_,,#Crosscheck #IllegitimateTrumpPence #MuslimBan #WomensMarch #BlackHistoryMonth #ACA #HumanRights #RightToChoose #Pipeline #WaterHumanRights,,,,
 +FIONA_DOMENICA,1/31/17 17:46,#mother teaches her daughter why women are marching and creates her own at home! #WomensMarch #trump #cutekids #inspire #motherhood pic.twitter.com/OMF1Ka3MbX,,#mother #WomensMarch #trump #cutekids #inspire #motherhood,,,,
 +Lipservice26,1/31/17 17:46,#stopsessions #resist #WomensMarch pic.twitter.com/N1iu5NWcJ7,New York,#stopsessions #resist #WomensMarch,,,,
 +AecSeewisahn,1/31/17 17:46,#Hi #GoodMorningWorld #February #HeForShe #WomensMarch #climatechange #lol,Mobile +668-4723-1999.,#Hi #GoodMorningWorld #February #HeForShe #WomensMarch #climatechange #lol,,,,
 +OccDemParody,1/31/17 17:45,#WOMENSMARCH #LIBTWITS are so desperate they'll trade our future to treat @USCIS as some sort of #DATINGSERVICE . #RAPECULTURE pic.twitter.com/zxNhYHsCL0,"California, USA",#WOMENSMARCH #LIBTWITS #DATINGSERVICE #RAPECULTURE,,,,
 +megagerdes,1/31/17 17:45,I've met some female Somali #RefugeesWelcome who'd probs be relieved their menfolk can't join them. @Ayaan #WomensMarch @usccb,LOUKY,#RefugeesWelcome #WomensMarch,,,,
 +thisissarahking,1/31/17 17:45,#day10 #100daysforequality #womensmarch pic.twitter.com/fdVGZfrImt,,#day10 #100daysforequality #womensmarch,,,,
 +NailedMagazine,1/31/17 17:44,#WOMENSMARCH vs. #INAUGURATION -- what's the difference? What's the same? http:// ow.ly/1jkq308y6hv pic.twitter.com/0MVLwo11w9,,#WOMENSMARCH #INAUGURATION,,,,
 +thecomenian,1/31/17 17:44,Read our latest story concerning the #WomensMarch Democracy Looks Like: The Womenâ€™s March on Washington https:// comenian.org/876/news/democ racy-looks-like-the-womens-march-on-washington/ â€_ pic.twitter.com/Cdgtlvvh3U,"Bethlehem, PA",#WomensMarch,,,,
 +eccotter95,1/31/17 17:44,@jen_bresler @JuliaHGWR check this out! #resist #WomensMarch https:// twitter.com/inspiredjen/st atus/826560694736674816 â€_,,#resist #WomensMarch,,,,
 +ErnstNiessen,1/31/17 17:43,De genitale verminking heeft in Tanzania 'n deerniswekkend slachtoffer geÃ«ist. Daarvoor marcheert #WomensMarch niet. http://www. telegraaf.nl/buitenland/275 38339/__Baby_sterft_door_besnijdenis__.html â€_,"Apeldoorn, Nederland",#WomensMarch,,,,
 +ryanwinn,1/31/17 17:43,Let's not forget we have an actual front line w/violence against Americans going on right now! #womensmarch #standingrock #sciencemarch https:// twitter.com/FemmesUnafraid /status/826397874263097344 â€_,Right behind you!,#womensmarch #standingrock #sciencemarch,,,,
 +laurenarankin,1/31/17 17:42,The #WomensMarch was just 10 days ago. Let that sink in.,Brooklyn,#WomensMarch,,,,
 +wandergirl20,1/31/17 17:42,Let's go women! #WomensMarch https:// twitter.com/harleypeyton/s tatus/826246849514270720 â€_,"U.S.A, Planet Earth",#WomensMarch,,,,
 +donttakeourvote,1/31/17 17:41,you should follow his lead and be a friend to the American people. #WomensMarch #ScienceMarch,KY,#WomensMarch #ScienceMarch,,,,
 +RNforHillary,1/31/17 17:41,"Let's do this All capitals, all offices of government! Make it easy for ALL to support! #RESISTANCE #WomensMarch #Indivisible #SallyYates https:// twitter.com/katheleenmitro /status/826554541931900930 â€_",,#RESISTANCE #WomensMarch #Indivisible #SallyYates,,,,
 +stansburyj,1/31/17 17:41,#WomensMarch https:// twitter.com/reshmasaujani/ status/826238605848870914 â€_,MD,#WomensMarch,,,,
 +kerijaehnig,1/31/17 17:40,. @Unilever CEO speaks supportively about @POTUS AND #womensmarch ? http:// bit.ly/2k3ZDUH via @livemint #ceo #economy #global,"Wilmington, Ohio",#womensmarch #ceo #economy #global,,,,
 +astrid3121,1/31/17 17:40,#LIVESTREAM : #SenateFloor #Vote on #StopSessions #AttorneyGeneral #Constitution #VETERANS #WomensMarch #Women #USA https:// youtu.be/pmmd6I-7x6Q,"San Francisco, CA!!!",#LIVESTREAM #SenateFloor #Vote #StopSessions #AttorneyGeneral #Constitution #VETERANS #WomensMarch #Women #USA,,,,
 +btxcgnbv,1/31/17 17:40,Trump and THE FACTS https:// apnews.com/df8a498f4f1949 9491e38e4dad1ddb06?utm_campaign=SocialFlow&utm_source=Twitter&utm_medium=AP_Politics â€_ #womensmarch,,#womensmarch,,,,
 +DeAnnSmithkc,1/31/17 17:40,Whose record on birth control will be a hit with #WomensMarch supporters https:// twitter.com/RameshPonnuru/ status/826546144360689664 â€_,Kansas City metro area,#WomensMarch,,,,
 +Julie_Is_Here,1/31/17 17:40,Way to go Judge!!!! #WomensMarch #Resist https:// twitter.com/Rambobiggs/sta tus/826196086771445760 â€_,With the Cowboys & Indians,#WomensMarch #Resist,,,,
 +Catja_F,1/31/17 17:39,We must continue to #Staywoke #MakeNoise be #TheResistance #StopTheCoup #WomensMarch #StrongerTogether #NoBanNoWall #CongressServesUs pic.twitter.com/NxoLFu3WD6,,#Staywoke #MakeNoise #TheResistance #StopTheCoup #WomensMarch #StrongerTogether #NoBanNoWall #CongressServesUs,,,,
 +katsworld500,1/31/17 17:39,Women's Rights Movement in the U.S.: History and Timeline of Events -We're Still Marching #WomensMarch http://www. infoplease.com/spot/womenstim eline1.html â€_,MARYLAND,#WomensMarch,,,,
 +1stAmend_Rights,1/31/17 17:38,"You better believe never again. And not in this country. #WomensMarch , 2018. Time to get religion out of government.","Florida, USA",#WomensMarch,,,,
 +Nix_km,1/31/17 17:37,"And the man she killed, was a homosexual. So much tolerance, you hypocritical, deranged lunatic. #WomensMarch #FeminismIsCancer pic.twitter.com/jmZdpnuU21","California, USA",#WomensMarch #FeminismIsCancer,,,,
 +MrsSpooksDale,1/31/17 17:37,#NoBanNoWall #WomensMarch #bansharia https:// twitter.com/ThePatriot143/ status/826230708553318400 â€_,,#NoBanNoWall #WomensMarch #bansharia,,,,
 +ACPress_LC,1/31/17 17:37,"Heather Gordon, 28, of Ventnor, addresses Carman about his Facebook post during #WomensMarch during public comment. pic.twitter.com/At1bS1L4S9",,#WomensMarch,,,,
 +WhitneyButters,1/31/17 17:37,"Can you be a pro-Trump, anti-abortion #feminist ? | http://www. deseretnews.com/article/865672 159/Can-you-be-a-pro-Trump-anti-abortion-feminist.html â€_ | #trump #WomensMarch #ProLife",Salt Lake City,#feminist #trump #WomensMarch #ProLife,,,,
 +Maira_Benjamin,1/31/17 17:36,We made history at #womensmarch . Now itâ€™s time to make our voices heard. First up: send a postcard to your Senators https://www. womensmarch.com/100?source=twi tter& â€_,,#womensmarch,,,,
 +NormaHills,1/31/17 17:36,Such a rough times #rolemodel #WomensMarch @Womerang @USOWomen #SallyYates https:// twitter.com/rachelsklar/st atus/826254535509286913 â€_,Mexico,#rolemodel #WomensMarch #SallyYates,,,,
 +hangryoptimist,1/31/17 17:36,When will you select moral and just people? @realDonaldTrump #resist #NoBanNoWall #womensmarch #freedom #equality #justice #dumptrump https:// twitter.com/realdonaldtrum p/status/826391334248407040 â€_,Canada,#resist #NoBanNoWall #womensmarch #freedom #equality #justice #dumptrump,,,,
 +hschoenrock,1/31/17 17:36,#WomensMarch just heard on the radio through NPR my local WHYY that phones rang off the hook today and everybody had trouble getting through,United States,#WomensMarch,,,,
 +m1chellemor3no,1/31/17 17:35,Reports djt cancelling weekend vacation #WomensMarch,,#WomensMarch,,,,
 +thomasj17431826,1/31/17 17:35,WATCH Top OBAMA Officials Say That It's IMPOSSIBLE TO VET REFUGEES (FROM Min. 6) https://www. youtube.com/watch?v=n1xSkq kIfLw&sns=tw â€_ #Christian #Catholic #WomensMarch,,#Christian #Catholic #WomensMarch,,,,
 +1stAmend_Rights,1/31/17 17:35,#WomensMarch tsunami is coming in 2018. You may not be up for election but other Rep Senators are.,"Florida, USA",#WomensMarch,,,,
 +PatriotsMarch,1/31/17 17:35,"Thank you for speaking out against KAConway's lying. She doesn't represent me, either. #Resist #Resistance #WomensMarch",,#Resist #Resistance #WomensMarch,,,,
 +Zoomie932,1/31/17 17:35,Feminist at #WomensMarch Gets Taste of Gender Equality After Punching Man http:// ln.is/www.youtube.co m/0YJcX â€_ via @YouTube,Fresno CA,#WomensMarch,,,,
 +xmcfarity,1/31/17 17:35,Reminder https://www. theguardian.com/environment/20 17/jan/31/public-lands-sell-congress-bureau-management-chaffetz â€_ #womensmarch #TheResistance #lootamerica,,#womensmarch #TheResistance #lootamerica,,,,
 +phillyopine,1/31/17 17:35,"I don't know a single #WomensMarch participant who was paid"" as some allege. The suggestion is maddening.""","Philadelphia, PA",#WomensMarch,,,,
 +hschoenrock,1/31/17 17:34,#resistance #WomensMarch #theresistence https:// twitter.com/hschoenrock/st atus/826558788111106048 â€_,United States,#resistance #WomensMarch #theresistence,,,,
 +yeditepe06,1/31/17 17:34,Must read!!! #Trump #stopsessions #StopPresidentBannon #fachism #WomensMarch #MarchOnWashington #MarchForRefugees #democrasy https:// twitter.com/hitRECordJoe/s tatus/826494874924912641 â€_,,#Trump #stopsessions #StopPresidentBannon #fachism #WomensMarch #MarchOnWashington #MarchForRefugees #democrasy,,,,
 +NJPAlways,1/31/17 17:34,"Wow, @AdaColau you so inspire! Thank you. @NYCMayor @CoreyinNYC @ACLU @lsarsour @womensmarch @WM_Global #WomensMarch #MuslimBan https:// twitter.com/SGardinier/sta tus/826152284044292097 â€_","Massachusetts, USA",#WomensMarch #MuslimBan,,,,
 +DeaRiley,1/31/17 17:34,#WomensMarch #WomensMarchOnWashington #PresidentTrump #Democrats #DNC #HillaryClinton #imwithher pic.twitter.com/u3Bz5uSYgw,"Kentucky, USA",#WomensMarch #WomensMarchOnWashington #PresidentTrump #Democrats #DNC #HillaryClinton #imwithher,,,,
 +SammysTwitch,1/31/17 17:34,Star Trek Enterprise Crew Encounters Nasty Alien... #AshleyJudd ! #WomensMarch https:// youtu.be/5FYaQyrEYys,Californian turned TEXAN!,#AshleyJudd #WomensMarch,,,,
 +womensmarchmaui,1/31/17 17:33,#ThankyouSally #womensmarch #RESIST https:// twitter.com/womensmarch/st atus/826274854919868416 â€_,maui,#ThankyouSally #womensmarch #RESIST,,,,
 +puffin98,1/31/17 17:32,#TheResistance #WomensMarch #ScienceMarch #DemForce #impeachTrump @SenateDems @HouseDemocrats @SenateGOP @HouseGOP @SenBlumenthal https:// twitter.com/VicenteFoxQue/ status/826161197057789952 â€_,,#TheResistance #WomensMarch #ScienceMarch #DemForce #impeachTrump,,,,
 +RNforHillary,1/31/17 17:32,He SAID he believes that family casualties are ok! HE SAID THAT! #ImpeachTrump #RESISTANCE #SallyYates #WomensMarch #ScienceNotSilence https:// twitter.com/shaunresists/s tatus/826556918785245185 â€_,,#ImpeachTrump #RESISTANCE #SallyYates #WomensMarch #ScienceNotSilence,,,,
 +shrnirons,1/31/17 17:32,I saw some of the most supportive men at #WomensMarch brothers fathers husbands friends it was a life changer,Florida,#WomensMarch,,,,
 +Martin8157,1/31/17 17:31,We made history at #womensmarch . Now itâ€™s time to make our voices heard. First up: send a postcard to your Senators https://www. womensmarch.com/100?source=twi tter& â€_,"Iowa, USA",#womensmarch,,,,
 +senthorun,1/31/17 17:30,â€œAll women have the right to full participation in our economy and communities.â€ù http:// bit.ly/2kRAFat #WomensMarch @womensmediacntr,"Manchester, England",#WomensMarch,,,,
 +FandiArianaGran,1/31/17 17:29,#WomensMarch #Respectariana#Uaremyeverything #ArianaBestFans pic.twitter.com/62KzDUnhTp,Italia,#WomensMarch #Respectariana #Uaremyeverything #ArianaBestFans,,,,
 +1stAmend_Rights,1/31/17 17:29,Don't even think of getting rid of filibuster. The #WomensMarch tsunami is coming in 2018.,"Florida, USA",#WomensMarch,,,,
 +BillColeman106,1/31/17 17:29,#feminism & #SJW #everydaysexism TRUTH #FeminismIsCancer #WomenAgainstFeminism #feminist #feminists #antifeminist #WomensMarch pic.twitter.com/PXJnhxSqU0,Connecticut USA&United Kingdom,#feminism #SJW #everydaysexism #FeminismIsCancer #WomenAgainstFeminism #feminist #feminists #antifeminist #WomensMarch,,,,
 +Mr_Damien_James,1/31/17 17:28,Rights are inalienable unless I want MORE 'Rights' than others have. http:// wp.me/p66r6I-3q #WomensMarch #totalitarianismworks4me,,#WomensMarch #totalitarianismworks4me,,,,
 +thewillchild645,1/31/17 17:28,@TiffanyATrump #SCOTUS @WhiteHouse #WomensMarch @Change @UN_Women @UN #AllmanReport already know.,,#SCOTUS #WomensMarch #AllmanReport,,,,
 +Charliec2ndward,1/31/17 17:28,#WaterIsLife #WomensMarch #Freedom #Resist https:// twitter.com/jimmyhawk9/sta tus/826362513105178624 â€_,"Spring/Houston,Texas",#WaterIsLife #WomensMarch #Freedom #Resist,,,,
 +thewillchild645,1/31/17 17:28,"@TiffanyATrump #SCOTUS @WhiteHouse #WomensMarch @Change @UN_Women @UN #AllmanReport from the stone all over again. I already know, I....",,#SCOTUS #WomensMarch #AllmanReport,,,,
 +EJKur,1/31/17 17:27,#WomensMarch #Sharia #MuslimBan #SupportTheBan https:// twitter.com/wmmII88/status /825564060255186944 â€_,America,#WomensMarch #Sharia #MuslimBan #SupportTheBan,,,,
 +SayIT_LikeIT_is,1/31/17 17:27,Was there a #WomensMarch in #Sweden I didnt hear about it on the news for some reason? Can't imagine why?,United Kingdom,#WomensMarch #Sweden,,,,
 +esullivan82,1/31/17 17:27,"This is seriously cool stuff, check it out. If you are a Progressive org/camp we are ready to help you. #RESIST #NoBanNoWall #WomensMarch https:// twitter.com/whitakerb2/sta tus/826511042738081792 â€_","Washington, DC",#RESIST #NoBanNoWall #WomensMarch,,,,
 +godrinati,1/31/17 17:27,#WomensMarch Series up! pic.twitter.com/XzgzRRkY1o,,#WomensMarch,,,,
 +1stAmend_Rights,1/31/17 17:27,@SenSchumer @SenOrrinHatch U gave us Trump. We give u the #resistance . Democratic reps are doing what we've asked them to. #WomensMarch 2018,"Florida, USA",#resistance #WomensMarch,,,,
 +thewillchild645,1/31/17 17:27,@TiffanyATrump #SCOTUS @WhiteHouse #WomensMarch @Change @UN_Women @UN #AllmanReport lake running game on that king retrieved that sword....,,#SCOTUS #WomensMarch #AllmanReport,,,,
 +godrinati,1/31/17 17:26,Me. Us. #WomensMarch pic.twitter.com/81g2Qlc5FA,,#WomensMarch,,,,
 +VoterID_911,1/31/17 17:26,#ObamasLegacy #WomensMarch https:// twitter.com/AmyMek/status/ 826546969980043273 â€_,"New York, NY",#ObamasLegacy #WomensMarch,,,,
 +malindalowery,1/31/17 17:26,Banish boring history! Listen to #pressrecord #oralhistory #era #WomensMarch https:// twitter.com/sohporalhistor y/status/826548601912430592 â€_,"Durham, NC via RobCo",#pressrecord #oralhistory #era #WomensMarch,,,,
 +thewillchild645,1/31/17 17:26,"@TiffanyATrump #SCOTUS @WhiteHouse #WomensMarch @Change @UN_Women @UN #AllmanReport MERICAN!!"" dignity. That would be that lady of the...""",,#SCOTUS #WomensMarch #AllmanReport,,,,
 +godrinati,1/31/17 17:26,#WomensMarch stills. pic.twitter.com/p0OsA1fkfT,,#WomensMarch,,,,
 +Advantage4actor,1/31/17 17:26,@billmaher on #Islam . #Islamophobia #womensmarchseattle #WomensMarch #starbucks #BetsyDeVos @TacomaRvCenter https://www. youtube.com/watch?v=XCUpgZ aClZA â€_,,#Islam #Islamophobia #womensmarchseattle #WomensMarch #starbucks #BetsyDeVos,,,,
 +schachin,1/31/17 17:26,Think I'll be washing my hair at 8:02 tonight #betterthingstodo #resistance #resisttrumptuesday #womensmarch,"Las Vegas, NV",#betterthingstodo #resistance #resisttrumptuesday #womensmarch,,,,
 +HillAllTheWay,1/31/17 17:25,"(Pls read...""!) . @sarahkendzior is a vital voice right now. #ResistTrump #Resistance #impeachment #TrumpLeaks #Indivisible #WomensMarch""","Wisconsin, USA",#ResistTrump #Resistance #impeachment #TrumpLeaks #Indivisible #WomensMarch,,,,
 +ResistTrumpTues,1/31/17 17:25,1% of America joined the #WomensMarch â€”let's get 3.5% for a mass movement to change history. #ResistTrumpTuesdays http:// bit.ly/2kP1DTU,"Chicago, IL",#WomensMarch #ResistTrumpTuesdays,,,,
 +thewillchild645,1/31/17 17:25,"@TiffanyATrump #SCOTUS @WhiteHouse #WomensMarch @Change @UN_Women @UN #AllmanReport turn on who they need to, to keep heads held with some..",,#SCOTUS #WomensMarch #AllmanReport,,,,
 +charlottemakes,1/31/17 17:25,Inspired by #WomensMarch and #AntiTrumpMarch #stitching up our favourite #placards #handsewn ... https:// tmblr.co/Z6luBw2HufAFp,"Cardiff, Wales",#WomensMarch #AntiTrumpMarch #stitching #placards #handsewn,,,,
 +josephszymanski,1/31/17 17:25,We made history at #womensmarch . Now itâ€™s time to make our voices heard. First up: send a postcard to your Senators https://www. womensmarch.com/100?source=twi tter& â€_,"San Francisco, California",#womensmarch,,,,
 +trumpscarnage,1/31/17 17:25,We made history at #womensmarch . Now itâ€™s time to make our voices heard. First up: send a postcard to your Senators https://www. womensmarch.com/100?source=twi tter& â€_,"Michigan, USA",#womensmarch,,,,
 +godrinati,1/31/17 17:25,#WomensMarch some stills are so filling of the energy that really loomed over this day. I'm so proud to stand on THIS side of history. pic.twitter.com/fZ2dnH5AuC,,#WomensMarch,,,,
 +thewillchild645,1/31/17 17:24,@TiffanyATrump #SCOTUS @WhiteHouse #WomensMarch @Change @UN_Women @UN #AllmanReport limitation of what's at stack of it's effect and...,,#SCOTUS #WomensMarch #AllmanReport,,,,
 +nastywomannc,1/31/17 17:24,"@ChuckGrassley . As a former farmer, you know best: don't put a fox in the hen house. Do the right thing please. #StopSessions #WomensMarch","North Carolina, USA",#StopSessions #WomensMarch,,,,
 +pkelly060676,1/31/17 17:24,"Yay Thought he was going to pre-empt Greatest Superbowl Commercials"" on @CBS . 1st good thing @potus has done! #WomensMarch #FakePresident https:// twitter.com/variety/status /826546464587382784 â€_""","Davie, FL",#WomensMarch #FakePresident,,,,
 +NoOrangeForMe,1/31/17 17:24,So more like the size of the #WomensMarch and supporting marches around the world?,Columbus,#WomensMarch,,,,
 +bboerner2332,1/31/17 17:24,Fwiw I didn't get my check for participating in the #WomensMarch . Did Soros pull a Donald?,Central TX,#WomensMarch,,,,
 +thewillchild645,1/31/17 17:24,@TiffanyATrump #SCOTUS @WhiteHouse #WomensMarch @Change @UN_Women @UN #AllmanReporthopefully the willing sex slave nation would know the...,,#SCOTUS #WomensMarch #AllmanReporthopefully,,,,
 +KamSingh,1/31/17 17:24,"If you went to the #womensmarch , then please read @margejacobsen 's article: https:// bitchmedia.org/article/beyond -walking-and-talking/post-march-postmortem-portland-womens-march-organizer-margaret â€_ #intersectional #interesectionalfeminism",,#womensmarch #intersectional #interesectionalfeminism,,,,
 +denise5795,1/31/17 17:23,@NSA + @CIA STOP #Trump / #Bannon 21st Century Coup of these United States. #VetsRising #theresistence #ThisWeWillDefend #WomensMarch https:// twitter.com/MMFlint/status /826322834536411136 â€_,,#Trump #Bannon #VetsRising #theresistence #ThisWeWillDefend #WomensMarch,,,,
 +clarityhaynes,1/31/17 17:23,Just got the full body chills from the cover of the @newYorker #wecandoit #womensmarch pic.twitter.com/TM9SNK2xVl,"New York, NY",#wecandoit #womensmarch,,,,
 +thewillchild645,1/31/17 17:23,@TiffanyATrump #SCOTUS @WhiteHouse #WomensMarch @Change @UN_Women @UN #AllmanReport dating one. He'll be regretting that Obama sir. Yet...,,#SCOTUS #WomensMarch #AllmanReport,,,,
 +MoviesRWin,1/31/17 17:23,Please watch & RT! https:// youtu.be/tlOr0Xs4UTE #sagawards #GoldenGlobes #Hollywood #WomensMarch #MuslimBanprotest #MuslimBan #Protest @POTUS,All Up In Your Safe-Space,#sagawards #GoldenGlobes #Hollywood #WomensMarch #MuslimBanprotest #MuslimBan #Protest,,,,
 +michellemckendr,1/31/17 17:22,Hotline to Trump Properties (844)325-5910 Call to reserve 200 rooms for #WomensMarch #MuslimBan #NoDAPL Have fun with it! lol! https:// twitter.com/funder/status/ 826548249347706880 â€_,Binghamton-ish NY,#WomensMarch #MuslimBan #NoDAPL,,,,
 +thewillchild645,1/31/17 17:22,@TiffanyATrump #SCOTUS @WhiteHouse #WomensMarch @Change @UN_Women @UN #AllmanReport drug dealers. Just who are these dealers. She'll be...,,#SCOTUS #WomensMarch #AllmanReport,,,,
 +Im_TheAntiTrump,1/31/17 17:22,"#TheResistance #womensmarch #resisttrumptuesday A 100 day action plan, a new action every 10 days. @womensmarch http:// ln.is/www.womensmarc h.com/27aib â€_",_Ÿ‡¨_Ÿ‡_ Canadian who cares,#TheResistance #womensmarch #resisttrumptuesday,,,,
 +alligator3216,1/31/17 17:22,"Michael Speciale, Rep of NC, continues to insult the women of NC. http://www. newsobserver.com/news/politics- government/state-politics/article129824694.html â€_ #MichaelSpeciale #republican #NC #womensmarch",,#MichaelSpeciale #republican #NC #womensmarch,,,,
 +thewillchild645,1/31/17 17:21,@TiffanyATrump #SCOTUS @WhiteHouse #WomensMarch @Change @UN_Women @UN #AllmanReport time. He'll be getting a thank you call for parting...,,#SCOTUS #WomensMarch #AllmanReport,,,,
 +adamreiner,1/31/17 17:21,This cover kicks ass. #wecandoit #womensmarch #newyorkermag https://www. instagram.com/p/BP8gEFEDOcQ/,"New York, NY",#wecandoit #womensmarch #newyorkermag,,,,
 +MrEgusi,1/31/17 17:21,. @Travis_C_Berry on #Periscope : Is Islam & Sharia Law Compatible with the Constitution? #WomensMarch #NoBanNoWall https://www. pscp.tv/w/a1-zaDFlZGpu enJNb3hqb2d8MWVhS2JSYVlWa1pLWOXKpdo4Ago_k56ehjHMPIQjtj8-Ry9Q6pQckZ_a-SOD â€_,Wakanda,#Periscope #WomensMarch #NoBanNoWall,,,,
 +thewillchild645,1/31/17 17:21,@TiffanyATrump #SCOTUS @WhiteHouse #WomensMarch @Change @UN_Women @UN #AllmanReport tv with some dealer pimp brainwashing her. Give it....,,#SCOTUS #WomensMarch #AllmanReport,,,,
 +Junebug3,1/31/17 17:21,The Guardian doesn't say there's spam; I signed it anyway. #theresistance #muslimban #WomensMarch #ACLU https:// twitter.com/hyp3rcrav3/sta tus/826531187376001024 â€_,Bee Cave TX,#theresistance #muslimban #WomensMarch #ACLU,,,,
 +SRoss143,1/31/17 17:20,Just doing a small part to #RESIST #lovetrumpshate #womensmarch #cawmw #whyimarch â€_ https://www. instagram.com/p/BP8fqTPFKRj/,"Bay Area, USA",#RESIST #lovetrumpshate #womensmarch #cawmw #whyimarch,,,,
 +thewillchild645,1/31/17 17:20,"@TiffanyATrump #SCOTUS @WhiteHouse #WomensMarch @Change @UN_Women @UN #AllmanReport not been their, she'd be giving head while watching on..",,#SCOTUS #WomensMarch #AllmanReport,,,,
 +OralEquality,1/31/17 17:20,"We need oral sex equality in the USA, too many women go home without receiving head, after giving it. #WomensMarch #WomensEmpowerment pic.twitter.com/5Kel4pF3Mw",United States,#WomensMarch #WomensEmpowerment,,,,
 +embshaw,1/31/17 17:20,GOOD! #WomensMarch https:// twitter.com/landsbaumshell /status/826448837065711616 â€_,"Texas, USA",#WomensMarch,,,,
 +BlackYouthProj,1/31/17 17:20,We need to listen to young people. Here are a few perspectives on the #womensmarch from our teen writers. Read more: http:// ow.ly/9tA4308wMTy,Chicago-based Globally-focused,#womensmarch,,,,
 +loxler,1/31/17 17:20,#WomensMarch : Social Media Held A Protest and Millions Showed Up http:// room214.com/social-media/w omensmarch-social-media-held-a-protest-and-millions-showed-up â€_,"Boulder, CO",#WomensMarch,,,,
 +denise5795,1/31/17 17:20,#TRUTH 4 @SenateMajLdr EAT UR WORDS!!! @SenateDems STAND UR GROUND the Base support U!!! #VetsRising #theresistence #WomensMarch #FearNothing https:// twitter.com/SenateDems/sta tus/826488412505042944 â€_,,#TRUTH #VetsRising #theresistence #WomensMarch #FearNothing,,,,
 +PamUnplugged,1/31/17 17:19,Agree#StopSessions #putinpuppet #TrumpLeaks #theresistance #presidentbannon ##womensmarch #lovetrumpshate #strongertogether #NotMyPresident https:// twitter.com/blkvotesmatter /status/826549730977181698 â€_,Connecticut,#StopSessions #putinpuppet #TrumpLeaks #theresistance #presidentbannon # #womensmarch #lovetrumpshate #strongertogether #NotMyPresident,,,,
 +thewillchild645,1/31/17 17:19,@TiffanyATrump #SCOTUS @WhiteHouse #WomensMarch @Change @UN_Women @UN #AllmanReport As would have at Obama farewell speech. if malina had...,,#SCOTUS #WomensMarch #AllmanReport,,,,
 +nastywomannc,1/31/17 17:19,@JeffFlake don't be shortsighted on #Sessionshearing . Do the right thing for USA. Don't pander 2 #bannonspuppet #WomensMarch,"North Carolina, USA",#Sessionshearing #bannonspuppet #WomensMarch,,,,
